Temperature,E,Esquared,C1,C2,C3,Cv
1.49,-4.56212,22.9876,1.64007,1.70146,1.22059,0.979501
1.5,-4.60637,23.5078,1.68274,1.6851,1.23854,1.01738
1.51,-4.51452,22.4848,1.62419,1.6695,1.22084,0.922696
1.52,-4.55671,22.9171,1.66187,1.65956,1.23527,0.932061
1.53,-4.4976,22.183,1.67752,1.60203,1.21805,0.834986
1.54,-4.58721,23.3336,1.68474,1.68003,1.22245,0.966033
1.55,-4.50215,22.2745,1.67039,1.61501,1.21675,0.834618
1.56,-4.49774,22.205,1.6234,1.65372,1.22061,0.811707
1.57,-4.52536,22.5051,1.63829,1.67663,1.21045,0.822034
1.58,-4.53936,22.9236,1.68754,1.63665,1.21517,0.928467
1.59,-4.51331,22.4559,1.66449,1.6414,1.20742,0.825085
1.6,-4.5105,22.3792,1.63482,1.65331,1.22236,0.794771
1.61,-4.50839,22.3494,1.67627,1.62895,1.20316,0.780778
1.62,-4.37566,21.141,1.58822,1.57113,1.21631,0.760018
1.63,-4.3426,20.6903,1.55452,1.5874,1.20067,0.689591
1.64,-4.49299,22.2341,1.68942,1.58964,1.21392,0.761154
1.65,-4.48963,22.3128,1.61916,1.66043,1.21004,0.791935
1.66,-4.49931,22.1849,1.66244,1.62324,1.21364,0.704429
1.67,-4.41732,21.4561,1.6007,1.62292,1.1937,0.696812
1.68,-4.4498,21.7834,1.63295,1.59154,1.22531,0.70248
1.69,-4.45651,21.7692,1.67203,1.59324,1.19125,0.668292
1.7,-4.3549,20.6634,1.57203,1.5872,1.19568,0.58762
1.71,-4.33134,20.5221,1.56177,1.57367,1.19589,0.602451
1.72,-4.36268,20.8787,1.53586,1.61361,1.2132,0.62389
1.73,-4.34671,20.6824,1.57851,1.56236,1.20584,0.59759
1.74,-4.45791,21.8575,1.6258,1.63037,1.20174,0.655463
1.75,-4.3757,21.0106,1.5708,1.61026,1.19464,0.60862
1.76,-4.37224,20.9716,1.58448,1.59074,1.19703,0.598908
1.77,-4.3523,20.8829,1.58141,1.55306,1.21782,0.619357
1.78,-4.34739,20.6255,1.54103,1.6177,1.18866,0.544663
1.79,-4.30036,20.1461,1.53113,1.57471,1.19453,0.515884
1.8,-4.42357,21.6456,1.59386,1.62735,1.20236,0.641214
1.81,-4.35451,20.7696,1.59139,1.55679,1.20634,0.551817
1.82,-4.26834,19.8375,1.51226,1.56924,1.18684,0.488719
1.83,-4.26393,19.8319,1.49707,1.57607,1.19077,0.492966
1.84,-4.31329,20.4337,1.53066,1.58236,1.20026,0.540292
