Temperature,E,Esquared,Binder,C1,C1fluc,C2,C2fluc,C3,C3fluc,Cv
1.62,-7.17587,61.4729,0.370763,2.87812,4.68126,3.14752,5.41153,1.25594,0.277169,3.80267
1.63,-7.22897,61.736,0.388053,2.98534,5.06961,3.07584,4.85647,1.28146,0.30889,3.56733
1.64,-7.01969,57.6687,0.410286,3.20667,5.00957,2.64923,3.83125,1.28369,0.343894,3.12042
1.65,-7.03232,57.6851,0.421148,2.84032,4.21301,3.02787,5.02936,1.27859,0.317295,3.02353
1.66,-7.02041,59.1526,0.368107,2.94037,4.79494,2.93028,4.89794,1.2486,0.272348,3.58048
1.67,-7.06154,58.2924,0.415291,3.02622,4.5661,2.87198,4.53373,1.27187,0.300355,3.02163
1.68,-6.81888,55.022,0.388063,2.69037,4.04939,2.95813,4.90365,1.27578,0.298644,3.02043
1.69,-7.19373,60.7959,0.405938,2.88696,4.61883,3.14706,5.22528,1.25805,0.279344,3.16732
1.7,-6.49349,49.5049,0.385407,2.75352,3.97678,2.54636,3.4417,1.326,0.360991,2.53963
1.71,-6.86162,55.3613,0.402302,2.73713,3.81962,2.93723,4.9296,1.31322,0.369545,2.83143
1.72,-6.79639,53.816,0.40912,2.81401,4.09917,2.72525,4.19605,1.4327,0.510837,2.57743
1.73,-6.9214,56.7478,0.35042,2.80961,4.23998,2.93008,4.96931,1.30441,0.330711,2.95432
1.74,-6.64047,51.2178,0.41799,2.5016,3.24631,2.95944,4.68051,1.31396,0.357388,2.35238
1.75,-6.73244,52.7723,0.420683,2.64485,3.90252,2.90651,4.5434,1.30152,0.368804,2.4315
1.76,-6.49269,49.6928,0.380006,2.67117,3.98732,2.66761,3.99071,1.26653,0.302043,2.43341
1.77,-6.83245,54.4852,0.417479,2.80891,4.15761,2.86856,4.36588,1.26124,0.287628,2.49061
1.78,-6.77729,53.3407,0.415569,2.77208,4.13402,2.81473,3.86098,1.3141,0.362641,2.33843
1.79,-6.792,53.5324,0.431245,2.95023,4.7191,2.67272,3.81482,1.27928,0.320351,2.3099
1.8,-6.62104,51.5071,0.391262,2.79169,4.1626,2.68615,3.71171,1.24029,0.265685,2.36696
1.81,-6.55567,49.9726,0.417052,2.56756,3.52675,2.8089,4.18596,1.29845,0.360244,2.13539
1.82,-6.53009,49.8287,0.39655,2.68927,3.77784,2.68463,3.64931,1.25586,0.310812,2.16961
1.83,-6.70463,52.6064,0.405528,2.73885,4.38778,2.74965,4.17762,1.36037,0.434003,2.28563
1.84,-6.87849,56.1516,0.368694,2.84203,4.60371,2.88562,4.37793,1.25988,0.290327,2.61048
1.85,-6.42066,47.9209,0.420214,2.41135,3.07144,2.85119,4.48218,1.26086,0.302211,1.95646
1.86,-6.41362,48.1871,0.399226,2.53482,3.2841,2.72006,4.22709,1.27555,0.311189,2.03856
1.87,-6.71176,52.5759,0.401101,2.71892,3.87468,2.85023,4.25544,1.2444,0.291185,2.15281
1.88,-6.6101,50.8759,0.420656,2.53522,3.63201,2.90132,4.59424,1.29917,0.338619,2.03215
1.89,-6.64168,51.0761,0.426181,2.72625,3.82651,2.76322,3.7559,1.26828,0.30112,1.94963
1.9,-6.69453,52.0405,0.426092,2.88678,4.02767,2.66637,3.81704,1.24983,0.282333,2.00102
1.91,-6.12125,43.6704,0.414048,2.62897,3.77508,2.32249,2.97399,1.28638,0.314368,1.69972
1.92,-6.20218,44.6439,0.415035,2.56746,3.65743,2.47568,2.94811,1.27385,0.295806,1.67557
1.93,-6.51715,49.8916,0.403392,2.82253,4.08649,2.54756,3.83767,1.24677,0.289723,1.99155
1.94,-6.49644,49.3921,0.39865,2.70099,4.13277,2.63674,3.64802,1.27013,0.318245,1.90996
1.95,-6.42944,48.03,0.404385,2.49354,3.02959,2.75033,4.0341,1.31981,0.332014,1.75997
1.96,-6.45493,48.4113,0.419352,2.57746,3.54875,2.71712,3.73479,1.2697,0.311845,1.75583
1.97,-6.399,48.1489,0.387482,2.61478,3.78379,2.5902,3.60896,1.32492,0.364262,1.8557
1.98,-6.20876,44.8983,0.399398,2.47956,3.14585,2.56508,3.63695,1.27503,0.312436,1.61963
1.99,-6.04706,42.3048,0.419345,2.47026,3.16515,2.39791,2.89008,1.30733,0.35006,1.44893
2,-6.36171,46.9333,0.413838,2.82527,4.24546,2.33731,2.99063,1.34177,0.385112,1.61548
