Temperature,E,Esquared,C1,C2,C3,Cv
1.55,-4.50215,22.2745,0.0835195,0.0807505,0.0608375,0.834618
1.56,-4.49774,22.205,0.08116999999999999,0.08268600000000001,0.0610305,0.811707
1.57,-4.52536,22.5051,0.0819145,0.0838315,0.0605225,0.822034
1.58,-4.53936,22.9236,0.08437700000000001,0.0818325,0.06075850000000001,0.928467
1.59,-4.51331,22.4559,0.0832245,0.08207,0.060370999999999994,0.825085
1.6,-4.5105,22.3792,0.081741,0.0826655,0.06111799999999999,0.794771
1.61,-4.50839,22.3494,0.0838135,0.08144749999999999,0.060158,0.780778
1.62,-4.37566,21.141,0.079411,0.0785565,0.0608155,0.760018
1.63,-4.3426,20.6903,0.07772599999999999,0.07937,0.0600335,0.689591
1.64,-4.49299,22.2341,0.08447099999999999,0.079482,0.06069600000000001,0.761154
1.65,-4.48963,22.3128,0.080958,0.0830215,0.060502,0.791935
1.66,-4.49931,22.1849,0.083122,0.081162,0.060682,0.704429
1.67,-4.41732,21.4561,0.080035,0.081146,0.059685,0.696812
1.68,-4.4498,21.7834,0.0816475,0.079577,0.061265499999999994,0.70248
1.69,-4.45651,21.7692,0.0836015,0.079662,0.0595625,0.668292
1.7,-4.3549,20.6634,0.0786015,0.07936,0.059784000000000004,0.58762
1.71,-4.33134,20.5221,0.0780885,0.07868349999999999,0.059794499999999993,0.602451
1.72,-4.36268,20.8787,0.076793,0.0806805,0.060660000000000006,0.62389
1.73,-4.34671,20.6824,0.07892550000000001,0.07811799999999999,0.060292,0.59759
1.74,-4.45791,21.8575,0.08129,0.08151850000000001,0.060087,0.655463
1.75,-4.3757,21.0106,0.07854,0.080513,0.05973199999999999,0.60862
1.76,-4.37224,20.9716,0.079224,0.079537,0.0598515,0.598908
1.77,-4.3523,20.8829,0.0790705,0.077653,0.060890999999999994,0.619357
1.78,-4.34739,20.6255,0.0770515,0.080885,0.059433,0.544663
1.79,-4.30036,20.1461,0.0765565,0.0787355,0.0597265,0.515884
1.8,-4.42357,21.6456,0.079693,0.08136750000000001,0.060118000000000005,0.641214
1.81,-4.35451,20.7696,0.0795695,0.07783949999999999,0.060316999999999996,0.551817
1.82,-4.26834,19.8375,0.075613,0.078462,0.05934199999999999,0.488719
1.83,-4.26393,19.8319,0.07485349999999999,0.0788035,0.05953850000000001,0.492966
1.84,-4.31329,20.4337,0.07653299999999999,0.079118,0.060013000000000004,0.540292
1.85,-4.34364,20.524,0.0786035,0.079249,0.0593295,0.484091
