Temperature,E,Esquared,E4,C1,C2,C12,C3,Cv,V
1.9,-4.47704,22.1604,748.559,0.0328212,0.0331976,0.0330094,0.023522,0.586281,0.491898
1.91,-4.1362,18.3908,454.411,0.028246,0.0306944,0.0294702,0.0237836,0.351605,0.552158
1.92,-4.38776,21.1293,650.858,0.0331572,0.0308076,0.0319824,0.0237904,0.509137,0.514047
1.93,-4.32782,20.3591,584.215,0.0323464,0.0301988,0.0312726,0.0240112,0.437347,0.530177
1.94,-4.36196,20.926,657.098,0.0312936,0.031826,0.0315598,0.0241196,0.504662,0.49981
1.95,-4.44342,21.5713,665.614,0.0338096,0.0318064,0.032808,0.0232524,0.480547,0.523185
1.96,-4.29756,20.1995,602.911,0.0352888,0.0270704,0.0311796,0.023592,0.450452,0.507449
1.97,-4.23656,19.5607,554.657,0.0292188,0.0312184,0.0302186,0.024294,0.41544,0.516793
1.98,-4.36852,20.8121,620.062,0.0292728,0.0347928,0.0320328,0.0233048,0.4408,0.522819
1.99,-4.19896,19.2244,535.992,0.0302612,0.0296404,0.0299508,0.0240776,0.402287,0.51657
2,-4.3297,20.5743,633.278,0.03012,0.0331156,0.0316178,0.0233584,0.456989,0.501317
